system_code,name,manged_by,category,grades,open_date,address,city,state,zip,principal_name,district_code,pr_overall,progress_grade,performance_grade,env_grade,readiness_grade,2012_grade,2011_grade,2010_grade,,,,,,,,
01M015,P.S. 015 Roberto Clemente,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1904,333 EAST 4 STREET,MANHATTAN,NY,10009,IRENE SANCHEZ,1,C,B,D,B,.,C,C,C,,,,,,,,
01M019,P.S. 019 Asher Levy,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1956,185 1 AVENUE,MANHATTAN,NY,10003,JACQUELINE FLANAGAN,1,A,A,B,B,.,B,B,C,,,,,,,,
01M020,P.S. 020 Anna Silver,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1963,166 ESSEX STREET,MANHATTAN,NY,10002,JAMES LEE,1,B,B,B,C,.,C,B,A,,,,,,,,
01M034,P.S. 034 Franklin D. Roosevelt,DOE,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE",Jul 1 1955,730 EAST 12 STREET,MANHATTAN,NY,10009,Rosemarie Gonzalez,1,A,A,A,B,.,A,C,B,,,,,,,,
01M063,The STAR Academy - P.S.63,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1905,121 EAST 3 STREET,MANHATTAN,NY,10009,DARLENE CAMERON,1,C,C,C,C,.,B,B,B,,,,,,,,
01M064,P.S. 064 Robert Simon,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1954,600 EAST 6 STREET,MANHATTAN,NY,10009,Marlon L. Hosang,1,C,C,C,A,.,C,C,C,,,,,,,,
01M110,P.S. 110 Florence Nightingale,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1902,285 DELANCY STREET,MANHATTAN,NY,10002,KAREN FEUER,1,A,A,A,C,.,D,C,D,,,,,,,,
01M134,P.S. 134 Henrietta Szold,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1960,293 EAST BROADWAY,MANHATTAN,NY,10002,Daniel Kim,1,C,B,C,D,.,C,C,B,,,,,,,,
01M137,P.S. 137 John L. Bernstein,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1966,293 EAST BROADWAY,MANHATTAN,NY,10002,MELISSA RODRIGUEZ,1,C,C,D,C,.,C,F,C,,,,,,,,
01M140,P.S. 140 Nathan Straus,DOE,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE",Jul 1 1959,123 RIDGE STREET,MANHATTAN,NY,10002,ESTEBAN BARRIENTOS,1,A,A,C,B,.,C,D,B,,,,,,,,
01M142,P.S. 142 Amalia Castro,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1976,100 ATTORNEY STREET,MANHATTAN,NY,10002,RHONDA LEVY,1,C,C,B,B,.,B,C,B,,,,,,,,
01M184,P.S. 184m Shuang Wen,DOE,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE",Jun 22 1999,327 CHERRY STREET,MANHATTAN,NY,10002,"Iris Chiu, I.A.",1,A,A,A,C,.,A,A,A,,,,,,,,
01M188,P.S. 188 The Island School,DOE,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE",Jul 1 1904,442 EAST HOUSTON STREET,MANHATTAN,NY,10002,MARY PREE,1,B,B,C,A,.,A,A,C,,,,,,,,
01M292,Henry Street School for International Studies,DOE,Secondary School,"06,07,08,09,10,11,12,SE",Sep 8 2004,220 HENRY STREET,MANHATTAN,NY,10002,CHRISTINE LOUGHLIN,1,B,A,F,C,.,C,C,C,,,,,,,,
01M301,"Technology, Arts, and Sciences Studio",DOE,Junior High-Intermediate-Middle,"06,07,08,SE",Jul 1 2005,185 1 AVENUE,MANHATTAN,NY,10003,GEORGE MORGAN,1,D,D,C,B,D,C,C,D,,,,,,,,
01M315,The East Village Community School,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1999,610 EAST 12 STREET,MANHATTAN,NY,10009,ROBIN WILLIAMS,1,B,A,C,C,.,B,B,C,,,,,,,,
01M332,University Neighborhood Middle School,DOE,Junior High-Intermediate-Middle,"06,07,08,SE",Sep 13 2004,220 HENRY STREET,MANHATTAN,NY,10002,Laura Peynado,1,A,A,B,B,.,B,C,C,,,,,,,,
